ESTACION RADAR;ABREVIATURA SASS-C;PROPIEDAD;USO;TIPO;POSICION WGS84;ZONA UTM;SAC;SIC
AITANA (MSSR);LEAI;MILITAR;RUTA;MSSR ;38 38 58,5000N / 00 16 00,8000W;30S;20;52
;;;;;;;;
;;;;;;;;
ALCALÁ DE LOS GAZULES (MSSR);LEGZ;MILITAR;APROX;MSSR;36 28 47,1N / 05 35 57,3W;30S;20;59
;;;;;;;;
;;;;;;;;
ALCOLEA (MSSR-S);LEAE;CIVIL;RUTA;Modo S;41 02 41,3948N / 02 27 20,1226W;30S;20;4
ALCOLEA (ADS-B);LEAE;CIVIL;RUTA;ADS-B;41 02 41,3948N / 02 27 20,1226W;30S;20;232
;;;;;;;;
;;;;;;;;
ALICANTE (MSSR-S);LEAI;CIVIL;APROX;Modo S;38 17 25,6150N / 00 33 59,2469W;30S;20;134
ALICANTE (ADS-B);;CIVIL;;ADS-B;38 17 13,4087N / 00 33 39,1162W;30S;20;206
;;;;;;;;
;;;;;;;;
AS PONTES (MSSR-S);LESN;CIVIL;RUTA;Modo S;43 30 43,4237N / 07 49 20,2241W;29T;20;10
;;;;;;;;
;;;;;;;;
ASTURIAS (SMMS);LEAU;CIVIL;SUPERF.;SMMS;43 33 48,8419N / 06 02 04,6362W;30T;0;105
ASTURIAS (WAM);LEAU;CIVIL;APROX;WAM;43 33 48,8419N / 06 02 04,6362W;30T;20;201
ASTURIAS (ADS-B MLAT);LEAU;CIVIL;APROX;WAM;43 33 48,8419N / 06 02 04,6362W;30T;20;209
ASTURIAS (SMR);LEAV;CIVIL;SUPERF.;SMR;43 33 52,7067 N / 06 01 50,2464W;30T;0;5
;;;;;;;;
;;;;;;;;
AUCH LIAS (MSSR-S);LFAU;CIVIL/FR;RUTA;Modo S;43 34 47,156N / 01 08 06,960E;31T;8;3
;;;;;;;;
;;;;;;;;
BARAJAS (MSSR);LEBJ;CIVIL;APROX;MSSR;40 31 06,03517N / 03 34 00,72169W;30T;20;3
BARAJAS (SMMS);;CIVIL;;SMMS;40 28 20,0302N / 03 33 39,3903W;30T;0;104
